お,a
え,e
う,u
い,i
あ,o
こ,ko
け,ke
く,ku
き,ki
か,ka
そ,so
せ,se
す,su
し,shi
さ,sa
と,to
て,te
つ,tsu
ち,chi
た,ta
の,no
ね,ne
ぬ,nu
に,ni
な,na
ほ,ho
へ,he
ふ,fu
ひ,hi
は,ha
も,mo
め,me
む,mu
み,mi
ま,ma
よ,yo
ゆ,yu
や,ya
ろ,ro
れ,re
る,ru
り,ri
ら,ra
を,wa
わ,(w)o
ん,n
が,ga
ぎ,gi
ぐ,gu
げ,ge
ご,go
ざ,za
じ,ji
ず,zu
ぜ,ze
ぞ,zo
だ,da
りょ,ryo
で,de
ど,do
ば,ba
び,bi
ぶ,bu
べ,be
ぼ,bo
ぱ,pa
ぴ,pi
ぷ,pu
ぺ,pe
ぽ,po
きゃ,kya
きゅ,kyu
きょ,kyo
ぎゃ,gya
ぎゅ,gyu
ぎょ,gyo
しゃ,sha
しゅ,shu
しょ,sho
じゃ,ja
じゅ,ju
じょ,jo
ちゃ,cha
ちゅ,chu
ちょ,cho
にゃ,nya
にゅ,nyu
にょ,nyo
ひゃ,hya
ひゅ,hyu
ひょ,hyo
びゃ,bya
びゅ,byu
びょ,byo
ぴゃ,pya
ぴゅ,pyu
ぴょ,pyo
みゃ,mya
みゅ,myu
みょ,myo
りゃ,rya
りゅ,ryu
